,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,N1,N2,DIST,N,RMSD,GDT_TS,LGA_S3,LGA_Q,Target
T1029TS063_4,0.01043,0.225996,0.117,0.163,,0.18463,0.2798,0.2659,0.1914383,0.17031953,0.536,0.249,0.270,0.106,0.349,0.137186,063s,100.0,480.0,,-1.84,13.4,5.1,8.69,18.565,18.636,125.0,1.0,0.0,15.2,24.0,20.217,2.09,-0.67,0.0,0.0,,2.97,0.25,13.6,0.4,0.16,0.27,1.81,0.52,47.4,1.99,37.58,36.15,0.22,,98.77,82.1,0.08,102.95,0.0,2.44,91.87,125.0,125.0,4.0,23.0,2.0,21.8,17.805999999999994,1.096,T1029
T1029TS170_4,0.05474,0.250928,0.177,0.227,,0.17516,,,0.2197465,0.25012773,0.705,0.418,0.403,0.19,0.465,0.234075,170s,100.0,502.0,,-2.11,12.0,2.86,4.61,15.827,15.828,125.0,1.0,4.8,14.4,32.0,23.895,2.42,0.32,0.0,0.0,,0.7,0.25,19.2,0.42,0.15,0.07,2.09,0.51,53.6,3.5,35.94,39.2,0.21,,116.52,,0.09,0.0,0.93,0.81,96.75,125.0,125.0,4.0,26.0,2.88,19.6,16.46,0.873,T1029
T1029TS033_1,0.00481,0.152549,0.073,0.126,,0.12632,0.2188,0.1981,0.11316501,0.11187644,0.499,0.229,0.218,0.21200000000000002,0.31,0.107982,033s,100.0,529.0,-2.72,-3.01,7.8,1.62,5.37,29.056,29.727,125.0,0.0,1.6,9.6,24.0,16.855999999999998,2.63,-1.66,0.0,0.0,,2.98,0.16,8.0,0.33,0.08,0.33,2.25,0.49,15.0,1.24,22.82,25.33,0.13,,157.33,89.63,0.05,41.98,2.78,4.88,90.24,125.0,125.0,4.0,15.0,2.13,12.4,10.273,0.672,T1029
T1029TS063_3,0.01587,0.22466,0.110,0.144,,0.16716,0.2426,0.2780,0.1873229,0.18395405,0.576,0.266,0.284,0.266,0.359,0.124994,063s,100.0,506.0,,-2.19,13.4,2.54,7.25,19.058,19.895,125.0,0.0,0.0,0.0,28.8,19.833,2.63,-1.56,0.0,0.0,,2.9,0.23,12.0,0.41,0.18,0.28,1.94,0.54,40.4,1.64,30.59,36.72,0.21,,101.3,82.37,0.08,65.47,2.78,0.81,95.93,125.0,125.0,4.0,24.0,2.2,19.0,16.202,1.045,T1029
T1030TS042_4,0.36861,0.576741,0.348,0.410,0.556,0.14276,0.4708,0.4607,0.409398,0.31509894,0.725,0.512,0.520,0.071132675,0.518,0.431112,042s,100.0,346.0,,-0.78,17.31,4.56,12.23,36.634,36.843,273.0,1.0,0.37,20.51,27.11,23.754,1.97,0.7,2.8,79.0,4.2,0.61,0.41,44.32,0.57,0.46,0.34,1.09,0.6,81.5,5.04,35.06,65.79,0.28,275.8,46.88,59.6,0.17,0.0,0.83,0.0,97.42,273.0,273.0,4.0,66.0,1.78,22.619,20.756,3.519,T1030
T1030TS063_4,0.07313,0.293893,0.201,0.142,0.155,0.09418,0.2745,0.2869,0.2114382,0.20358329,0.495,0.331,0.344,0.021885246,0.374,0.241130,063s,100.0,486.0,,-1.7,7.14,1.76,2.92,35.431,35.61400000000001,273.0,1.0,0.73,7.33,25.27,18.209,2.37,0.31,2.8,64.0,4.1,3.58,0.26,19.23,0.38,0.23,0.23,1.66,0.55,45.1,4.07,26.64,39.45,0.16,256.1,57.2,91.08,0.06,130.98,3.33,3.32,87.82,273.0,273.0,4.0,25.0,2.81,10.989,9.139,0.8590000000000001,T1030
T1030TS305_2,0.28572,0.55622,0.273,0.250,0.321,0.11654,0.3595,0.2793,0.3592616,0.28125468,0.472,0.392,0.396,0.10281567,0.435,0.308697,305s,100.0,449.0,,-1.41,10.35,2.94,6.65,38.46,38.881,273.0,0.0,0.0,0.0,20.51,17.133,2.16,-0.19,0.0,0.0,,3.83,0.25,27.66,0.48,0.4,0.49,1.78,0.56,61.6,2.83,27.65,53.99,0.19,,274.23,25.73,0.1,123.01,11.67,2.21,92.62,273.0,273.0,4.0,53.0,2.45,14.652,13.75,2.08,T1030
T1030TS033_1,0.10705,0.350213,0.181,0.135,0.160,0.10738,0.2582,0.2256,0.2357654,0.20566697,0.375,0.304,0.294,0.15320459,0.337,0.196908,033s,100.0,472.0,-1.53,-1.58,8.33,1.98,5.66,33.107,33.585,273.0,3.0,0.0,0.37,26.37,18.091,2.3,-0.03,0.0,0.0,,3.19,0.23,15.02,0.37,0.26,0.19,2.09,0.5,43.0,3.7,24.15,38.19,0.17,,290.84,89.03,0.05,68.11,5.42,1.85,95.2,273.0,273.0,4.0,37.0,2.13,12.454,10.824000000000002,1.656,T1030
T1030TS437_2,0.26999,0.501637,0.315,0.327,0.394,0.12445,0.4313,0.5755,0.3310447,0.26733756,0.635,0.464,0.433,0.052396614,0.467,0.455404,437s,100.0,434.0,,-1.36,9.52,2.03,3.55,35.796,35.927,273.0,3.0,0.0,0.0,34.43,25.001,2.21,2.33,3.4,102.0,8.5,3.4,0.33,30.04,0.49,0.36,0.1,1.48,0.5,53.6,5.73,28.93,55.43,0.2,373.4,170.55,,0.12,116.17,2.08,5.17,86.35,273.0,273.0,4.0,44.0,3.04,15.293,12.664,1.4,T1030
T1030TS305_5,0.28399,0.541152,0.274,0.275,0.365,0.11779,0.3287,0.2604,0.3502529,0.28046498,0.497,0.399,0.409,0.2347849,0.443,0.347188,305s,100.0,442.0,,-1.39,10.16,4.13,7.6,24.254,24.691,273.0,0.0,0.0,0.0,19.78,14.876,2.22,-0.92,2.2,121.0,27.4,3.79,0.27,30.77,0.49,0.41,0.56,1.88,0.51,69.2,3.29,31.0,54.37,0.19,307.7,122.3,25.04,0.13,111.85,12.5,1.11,92.99,273.0,273.0,4.0,44.0,2.14,14.927,13.811,1.966,T1030
T1030TS277_5,0.32126,0.633567,0.414,0.368,0.330,0.13404,0.3775,0.4161,0.4564886,0.31563216,0.571,0.429,0.433,0.0052638985,0.498,0.481510,277s,100.0,376.0,,-1.05,15.75,5.71,11.36,55.959,55.937,273.0,0.0,0.0,0.0,31.14,24.143,2.12,0.31,2.8,95.0,8.0,1.08,0.33,30.04,0.55,0.45,0.53,1.62,0.55,47.5,3.5,28.68,61.97,0.21,302.6,427.29,,0.15,2.51,0.0,0.0,97.79,273.0,273.0,4.0,56.0,1.72,19.231,17.526,3.075,T1030
T1030TS460_4,0.15571,0.41432,0.186,0.214,0.337,0.11900,0.3828,0.3120,0.2763687,0.26098007,0.600,0.421,0.454,0.32460612,0.453,0.236199,460s,100.0,461.0,,-1.5,9.43,1.56,4.59,28.047,28.491,273.0,1.0,0.0,0.0,20.15,16.535,1.79,-0.81,3.2,74.0,6.6,2.95,0.39,34.98,0.49,0.39,0.53,1.47,0.44,64.0,4.58,35.42,56.73,0.18,374.2,35.6,81.13,0.13,65.85,0.0,5.17,84.87,273.0,273.0,4.0,36.0,2.15,13.553,12.259,1.6030000000000002,T1030
T1030TS050_2,0.29316,0.510047,0.208,0.326,0.401,0.11447,0.3889,0.3845,0.3402157,0.29933417,0.697,0.471,0.442,0.25600255,0.472,0.388448,050s,100.0,474.0,,-1.6,9.62,4.1,6.83,25.355,25.769,273.0,0.0,0.0,0.37,22.34,14.558,2.59,-0.81,3.1,122.0,11.1,3.41,0.39,37.91,0.51,0.41,0.47,1.44,0.49,62.9,2.83,30.87,62.18,0.17,358.6,30.86,84.38,0.12,101.37,5.83,1.85,94.83,273.0,273.0,4.0,36.0,1.77,12.271,11.504,1.925,T1030
T1030TS138_5,0.19897,0.467823,0.237,0.324,,0.11365,0.3846,0.3309,0.3279975,0.28486484,0.640,0.424,0.453,0.13012668,0.466,0.332057,138s,100.0,461.0,,-1.5,9.25,2.97,6.89,34.513000000000005,34.787,273.0,0.0,0.0,0.0,19.05,14.335,2.32,-0.47,3.4,106.0,24.0,3.5,0.41,42.31,0.53,0.43,0.35,1.43,0.5,75.2,3.7,36.97,62.87,0.18,340.4,49.66,44.17,0.15,29.38,12.92,5.9,82.29,273.0,273.0,4.0,43.0,2.09,13.553,12.764,1.964,T1030
T1030TS063_3,0.04826,0.300304,0.121,0.115,0.107,0.10517,0.2919,0.2492,0.198297,0.18473288,0.486,0.322,0.350,0.002961152,0.375,0.197975,063s,100.0,484.0,,-1.66,8.52,0.66,2.42,62.351000000000006,62.007,273.0,0.0,0.37,0.0,22.34,12.28,2.66,0.48,2.7,57.0,2.5,3.27,0.26,18.13,0.39,0.24,0.06,1.71,0.51,33.5,3.89,19.55,41.49,0.15,232.0,807.86,91.48,0.06,99.77,5.0,1.85,95.94,273.0,273.0,4.0,31.0,3.12,11.447,9.476,0.964,T1030
T1030TS081_1,0.29331,0.559263,0.252,0.332,0.208,0.11905,0.3479,0.4493,0.3591113,0.27809948,0.594,0.468,0.485,0.06885556,0.469,0.422826,081s,100.0,451.0,-1.38,-1.42,10.71,3.34,5.08,27.889,28.393,273.0,23.0,0.0,0.0,34.43,25.36,2.22,1.38,4.0,160.0,8.4,3.87,0.27,32.05,0.53,0.4,0.16,1.37,0.47,69.4,5.19,32.47,58.72,0.21,519.9,212.95,,0.14,149.97,7.08,6.27,88.56,273.0,273.0,4.0,42.0,2.47,14.56,13.281,1.633,T1030
T1030TS063_1,0.13349,0.409439,0.193,0.179,0.181,0.11485,0.3053,0.3623,0.2744729,0.23106924,0.574,0.413,0.389,0.05831851,0.404,0.342760,063s,100.0,458.0,-1.44,-1.48,8.15,1.08,3.5,45.504,45.603,273.0,0.0,0.0,0.0,31.5,23.23,2.07,-0.47,3.0,94.0,3.1,3.38,0.27,20.7,0.43,0.3,0.05,1.94,0.48,41.4,4.58,23.64,46.36,0.18,269.2,600.41,88.68,0.09,94.99,6.25,1.85,95.2,273.0,273.0,4.0,31.0,2.46,13.736,11.629,1.211,T1030
T1030TS305_1,0.23557,0.499477,0.255,0.249,0.339,0.11596,0.3525,0.2412,0.3320903,0.26525736,0.499,0.403,0.416,0.13838147,0.441,0.295284,305s,100.0,467.0,-1.49,-1.54,9.25,3.7,6.33,27.722,28.187,273.0,0.0,0.0,0.0,21.98,13.265,2.68,-0.75,0.0,0.0,,3.84,0.25,26.56,0.49,0.39,0.42,1.65,0.56,65.0,2.83,23.97,53.88,0.18,,168.01,23.47,0.12,123.01,10.42,1.85,91.14,273.0,273.0,4.0,41.0,2.37,13.004,11.997,1.662,T1030
T1030TS317_1,0.25519,0.496077,0.231,0.260,0.402,0.11379,0.3682,0.3231,0.3443731,0.27962145,0.599,0.435,0.448,0.048495214,0.449,0.250567,317s,100.0,434.0,-1.32,-1.36,10.07,3.19,5.61,29.548,29.897,273.0,2.0,0.0,0.0,18.32,13.335,2.59,-0.47,0.0,0.0,,3.54,0.39,43.77,0.51,0.43,0.38,1.21,0.51,78.7,2.58,29.86,61.72,0.21,,31.58,41.72,0.13,30.98,16.25,5.54,85.61,273.0,273.0,4.0,47.0,2.5,15.293,13.569,1.808,T1030
T1030TS063_5,0.05561,0.311326,0.161,0.132,0.190,0.09447,0.2684,0.1724,0.2113999,0.19717197,0.456,0.286,0.308,0.0017790453,0.363,0.259122,063s,100.0,496.0,,-1.83,6.32,0.61,2.63,67.16,66.86,273.0,0.0,0.37,1.1,13.19,9.316,2.5,-1.2,2.8,104.0,14.8,3.21,0.23,14.29,0.37,0.24,0.15,2.05,0.46,32.0,2.83,18.67,38.17,0.14,233.1,909.41,92.8,0.06,62.87,5.42,0.74,94.46,273.0,273.0,4.0,24.0,2.64,9.341,7.791,0.875,T1030
T1030TS305_4,0.24362,0.544392,0.283,0.225,0.267,0.11100,0.3240,0.2367,0.360718,0.28050002,0.489,0.399,0.383,0.21607241,0.43,0.280610,305s,100.0,477.0,,-1.62,8.52,2.21,4.31,36.37300000000001,36.692,273.0,0.0,0.0,0.0,19.05,13.524,2.3,-0.7,0.0,0.0,,3.77,0.26,29.3,0.49,0.4,0.42,1.81,0.46,65.8,4.25,26.88,54.06,0.15,,292.3,20.64,0.12,125.57,11.25,1.11,93.73,273.0,273.0,4.0,35.0,2.58,11.996,10.564,1.305,T1030
T1030TS052_4,0.28876,0.62921,0.367,0.336,0.315,0.12714,0.4454,0.3665,0.425099,0.3026339,0.546,0.423,0.406,0.27101356,0.452,0.463497,052s,100.0,381.0,,-1.07,13.19,5.17,8.37,20.566,20.989,273.0,0.0,0.0,0.0,26.01,18.162,2.27,-0.7,2.1,50.0,3.4,2.3,0.35,40.84,0.53,0.44,0.61,1.2,0.58,79.9,3.07,38.49,59.6,0.25,151.0,80.52,29.22,0.16,18.0,0.0,2.58,90.04,273.0,273.0,4.0,55.0,2.29,18.956,17.21,2.302,T1030
T1030TS183_1,0.56840,0.724599,0.532,0.598,0.760,0.14488,0.7816,0.8151,0.5561791,0.38448533,0.783,0.556,0.580,0.6068704,0.573,0.622230,183s,100.0,52.0,0.92,1.02,28.2,12.04,21.06,6.069,6.4129999999999985,273.0,2.0,39.56,56.78,65.57,47.029,2.17,5.92,16.4,254.0,4.7,2.13,0.64,82.6,0.69,0.71,0.9,0.27,0.81,94.5,7.24,84.94,81.12,0.62,1669.2,6.18,,0.41,22.81,1.67,1.11,97.42,273.0,273.0,4.0,132.0,2.12,45.604,44.108,5.935,T1030
T1030TS170_2,0.07894,0.32682,0.122,0.173,0.245,0.09803,,,0.19485011,0.21596166,0.649,0.375,0.378,0.15619749,0.448,0.199079,170s,100.0,497.0,,-1.83,6.41,1.17,2.57,26.556,27.177,273.0,0.0,0.37,0.0,18.32,11.379,2.71,-1.6,0.0,0.0,,0.93,0.34,26.56,0.44,0.3,0.41,1.64,0.49,28.7,1.99,28.55,49.36,0.14,,33.68,,0.08,0.0,0.42,1.85,93.36,273.0,273.0,4.0,26.0,2.76,9.249,8.132,0.908,T1030
T1031TS140_1,0.15976,0.54063,0.367,0.396,0.753,0.25319,0.6047,0.6110,0.3755893,0.4113136,0.866,0.540,0.527,0.31098872,0.525,0.366137,140s,100.0,248.0,-0.28,-0.32,17.89,3.91,8.47,14.174,14.73,95.0,1.0,18.95,29.47,40.0,28.747,2.34,0.81,0.0,0.0,,2.54,0.35,40.0,0.5,0.37,0.48,1.3,0.49,43.3,2.3,59.16,59.19,0.28,,30.92,67.26,0.15,15.43,2.3,5.38,89.25,95.0,95.0,4.0,29.0,2.71,28.158,25.608,1.03,T1031
T1031TS063_3,0.02458,0.296083,0.133,0.129,0.096,0.19488,0.3061,0.3297,0.16427945,0.19938569,0.649,0.361,0.353,0.25035787,0.386,0.140245,063s,100.0,456.0,,-0.74,14.21,1.44,6.57,16.447,16.773,95.0,0.0,1.05,3.16,41.05,28.085,2.56,-1.13,0.0,0.0,,2.92,0.26,24.74,0.41,0.2,0.22,1.65,0.52,67.7,1.24,33.99,43.53,0.21,,67.85,82.71,0.09,89.86,4.6,0.0,100.0,95.0,95.0,4.0,20.0,2.53,22.368,19.174,0.76,T1031
T1031TS170_1,0.04765,0.281781,0.134,0.165,0.214,0.23130,0.3635,0.3908,0.16254216,0.2465597,0.693,0.445,0.447,0.3073614,0.425,0.247796,170s,100.0,450.0,-0.67,-0.72,13.68,2.99,5.63,13.954,14.712,95.0,0.0,1.05,13.68,41.05,23.542,2.69,-0.52,0.0,0.0,,3.13,0.29,29.47,0.42,0.28,0.45,1.75,0.42,54.2,1.64,46.87,52.58,0.22,,19.87,,0.1,76.43,2.3,1.08,91.4,95.0,95.0,4.0,24.0,2.87,22.632,19.698,0.809,T1031
T1031TS033_1,0.00513,0.20473,0.163,0.105,0.089,0.16676,0.2367,0.3198,0.1209606,0.12315649,0.567,0.323,0.353,0.2215202,0.365,0.147130,033s,100.0,513.0,-1.06,-1.12,10.79,1.04,4.72,16.942,17.382,95.0,1.0,0.0,0.0,27.37,25.831,2.1,-1.61,0.0,0.0,,3.34,0.19,12.11,0.33,0.07,0.06,1.84,0.52,46.3,0.73,28.33,29.53,0.16,,111.71,85.47,0.04,73.17,4.6,3.23,91.4,95.0,95.0,4.0,17.0,2.52,17.105,14.868,0.648,T1031
T1031TS070_4,0.02892,0.300396,0.204,0.178,0.301,0.21676,0.3672,0.3942,0.20107959,0.2692628,0.736,0.440,0.466,0.2810473,0.465,0.239973,070s,100.0,335.0,,-0.49,15.53,4.79,8.83,12.444,13.303,95.0,0.0,0.0,32.63,38.95,25.902,2.47,0.09,0.0,0.0,,0.97,0.28,23.68,0.41,0.23,0.35,1.49,0.54,47.2,1.99,51.79,44.76,0.26,,50.01,60.17,0.08,0.0,0.0,1.08,92.47,95.0,95.0,4.0,28.0,2.52,25.789,22.211,1.07,T1031
T1031TS278_1,0.16953,0.507591,0.227,0.208,0.655,0.22202,0.3935,0.3867,0.3349853,0.35174018,0.816,0.495,0.507,0.2477392,0.496,0.227201,278s,100.0,443.0,-0.65,-0.7,14.21,3.97,7.4,16.059,16.722,95.0,0.0,0.0,0.0,37.89,26.812,2.47,-0.88,0.0,0.0,,0.71,0.28,26.32,0.45,0.23,0.32,1.66,0.53,53.4,2.83,41.89,48.09,0.21,,76.49,52.43,0.08,0.64,0.0,0.0,98.92,95.0,95.0,4.0,19.0,2.26,22.895,19.511,0.804,T1031
T1031TS337_5,0.03514,0.354964,0.255,0.155,0.228,0.22050,0.3527,0.3689,0.21658438,0.23548794,0.695,0.418,0.423,0.29709372,0.418,0.165628,337s,100.0,307.0,,-0.41,16.32,3.85,8.19,13.048,13.872,95.0,1.0,10.53,22.11,34.74,22.963,2.55,-0.4,0.0,0.0,,3.37,0.32,26.84,0.44,0.27,0.33,1.49,0.52,41.3,2.83,42.28,48.04,0.25,,48.62,80.64,0.09,107.19,3.45,2.15,92.47,95.0,95.0,4.0,26.0,2.6,26.842,22.834,0.962,T1031
T1031TS460_5,0.06709,0.32593,0.202,0.144,,0.22964,0.3616,0.3590,0.19430753,0.27229744,0.667,0.365,0.408,0.2742656,0.414,0.133226,460s,100.0,433.0,,-0.66,14.74,2.28,7.19,14.021,14.479,95.0,0.0,0.0,6.32,34.74,23.662,2.47,-1.49,0.0,0.0,,3.65,0.27,24.74,0.41,0.25,0.39,1.73,0.46,46.3,2.58,41.77,45.01,0.22,,39.33,76.11,0.06,172.13,2.3,7.53,83.87,95.0,95.0,4.0,22.0,2.44,23.421,20.144,0.866,T1031
T1031TS364_2,0.12124,0.471525,0.271,0.332,0.643,0.23504,0.4816,0.4839,0.3056733,0.346996,0.775,0.531,0.540,0.28678197,0.485,0.278552,364s,100.0,272.0,,-0.36,19.74,5.35,11.15,15.82,16.409000000000002,95.0,1.0,8.42,27.37,34.74,28.025,1.88,0.09,0.0,0.0,,2.58,0.29,25.79,0.46,0.31,0.45,1.5,0.48,52.5,2.3,55.56,53.07,0.26,,85.35,,0.08,22.46,0.0,7.53,79.57,95.0,95.0,4.0,28.0,2.32,27.632,25.055,1.158,T1031
T1031TS437_3,0.00381,0.230167,0.128,0.113,0.004,0.17784,0.2849,0.2550,0.12067292,0.1749777,0.543,0.259,0.312,0.23182258,0.323,0.089330,437s,100.0,500.0,,-1.01,11.31,1.4,4.14,15.519,16.203,95.0,0.0,3.16,10.53,29.47,24.791,2.34,-1.37,0.0,0.0,,3.14,0.21,16.32,0.35,0.13,0.21,1.97,0.52,40.0,2.58,22.89,32.98,0.17,,109.17,84.47,0.08,77.66,2.3,1.08,91.4,95.0,95.0,4.0,17.0,2.87,18.684,15.046,0.5710000000000001,T1031
T1031TS063_2,0.00821,0.243895,0.140,0.132,0.038,0.19820,0.3206,0.2595,0.11845544,0.16218469,0.584,0.288,0.349,0.24286847,0.349,0.133800,063s,100.0,497.0,,-0.97,11.31,1.48,4.71,13.965,14.855,95.0,1.0,0.0,0.0,41.05,26.857,2.59,-0.04,0.0,0.0,,3.57,0.25,15.79,0.38,0.15,0.21,1.91,0.5,40.6,2.58,24.26,36.35,0.2,,66.66,80.86,0.05,98.2,5.75,1.08,90.32,95.0,95.0,4.0,16.0,2.42,19.211,15.73,0.634,T1031
T1031TS151_1,0.07695,0.303204,0.112,0.144,0.119,0.22881,0.3584,0.3938,0.19018142,0.26981956,0.735,0.431,0.431,0.24298352,0.443,0.171006,151s,100.0,476.0,-0.78,-0.84,13.42,2.38,6.62,12.421,12.993,95.0,1.0,2.11,5.26,36.84,28.285,2.28,-0.04,0.0,0.0,,2.79,0.27,24.74,0.42,0.2,0.4,1.58,0.5,57.9,3.07,32.62,46.37,0.19,,39.73,,0.08,36.59,0.0,3.23,79.57,95.0,95.0,4.0,16.0,2.28,21.053,17.326,0.672,T1031
T1031TS063_5,0.03037,0.24958,0.136,0.122,0.110,0.19169,0.3112,0.2791,0.13998186,0.1997798,0.661,0.379,0.384,0.23597018,0.395,0.164883,063s,100.0,456.0,,-0.74,15.26,2.38,6.69,15.968,16.811,95.0,0.0,1.05,17.89,34.74,28.126,2.09,0.21,0.0,0.0,,3.21,0.23,18.42,0.4,0.12,0.08,1.75,0.48,36.9,2.58,31.24,36.25,0.22,,95.85,82.11,0.07,73.81,4.6,2.15,94.62,95.0,95.0,4.0,21.0,2.6,22.368,18.539,0.778,T1031
T1031TS170_4,0.03027,0.306896,0.208,0.132,,0.19100,0.3145,0.3150,0.17775387,0.2118052,0.695,0.438,0.427,0.23789364,0.425,0.151842,170s,100.0,486.0,,-0.87,12.11,0.77,4.44,13.018,13.788,95.0,0.0,8.42,25.26,40.0,24.017,2.93,-1.98,0.0,0.0,,2.71,0.24,21.05,0.41,0.17,0.3,1.48,0.55,47.6,1.99,32.5,41.66,0.21,,50.47,,0.06,52.67,1.15,2.15,92.47,95.0,95.0,4.0,19.0,2.85,20.526,18.057,0.644,T1031
T1031TS075_4,0.12054,0.357525,0.395,0.332,0.426,0.25388,0.4022,0.4748,0.2476536,0.32787085,0.816,0.507,0.506,0.36529037,0.488,0.333661,075s,100.0,109.0,,0.12,23.95,9.03,16.14,14.133,14.723,95.0,0.0,9.47,24.21,36.84,29.302,2.23,0.57,0.0,0.0,,2.79,0.38,42.63,0.52,0.38,0.43,1.32,0.46,52.8,3.7,58.16,62.67,0.35,,15.3,59.35,0.16,78.31,0.0,2.15,93.55,95.0,95.0,4.0,37.0,2.34,34.211,31.813,1.518,T1031
T1031TS063_1,0.02839,0.264897,0.122,0.124,0.010,0.20402,0.3161,0.2988,0.14200064,0.19079645,0.632,0.309,0.320,0.24000663,0.352,0.141494,063s,100.0,409.0,-0.56,-0.6,14.74,1.5,5.99,14.8,15.468,95.0,0.0,0.0,0.0,38.95,23.859,2.77,-0.28,0.0,0.0,,3.52,0.27,23.68,0.39,0.17,0.22,1.62,0.5,45.7,1.99,30.14,41.91,0.22,,64.95,81.29,0.05,130.3,3.45,1.08,90.32,95.0,95.0,4.0,21.0,2.8,24.211,19.746,0.723,T1031
T1031TS278_4,0.15772,0.485184,0.294,0.188,0.610,0.21981,0.3752,0.5230,0.3324912,0.33554426,0.809,0.488,0.502,0.24353589,0.492,0.213808,278s,100.0,497.0,,-0.97,11.58,0.77,4.03,12.502,12.952,95.0,2.0,2.11,18.95,38.95,29.401,2.34,-0.04,0.0,0.0,,1.25,0.29,20.53,0.38,0.18,0.24,1.55,0.52,54.6,1.24,38.25,40.08,0.18,,43.99,44.89,0.07,0.64,0.0,1.08,90.32,95.0,95.0,4.0,17.0,2.64,19.211,16.188,0.62,T1031
T1031TS337_3,0.05353,0.378203,0.196,0.178,0.367,0.23061,0.3511,0.4326,0.2549949,0.27440208,0.732,0.434,0.391,0.28442842,0.411,0.202762,337s,100.0,481.0,,-0.85,12.89,2.15,4.92,14.249,14.749,95.0,0.0,2.11,1.05,37.89,30.663,2.11,0.09,0.0,0.0,,3.51,0.3,24.21,0.41,0.26,0.4,1.54,0.5,57.2,2.83,43.24,48.75,0.21,,31.06,69.4,0.08,109.76,4.6,3.23,91.4,95.0,95.0,4.0,20.0,2.73,20.789,18.899,0.708,T1031
T1031TS033_5,0.00985,0.263225,0.138,0.131,0.130,0.18740,0.2838,0.2729,0.15467453,0.16549286,0.651,0.285,0.341,0.1981214,0.37,0.133358,033s,100.0,511.0,,-1.1,11.84,0.73,3.12,17.695999999999994,18.145,95.0,1.0,2.11,10.53,32.63,21.17,2.67,-0.64,0.0,0.0,,3.34,0.22,17.37,0.36,0.12,0.15,1.86,0.45,51.8,1.64,26.56,34.93,0.15,,97.76,84.43,0.05,57.77,6.9,2.15,92.47,95.0,95.0,4.0,16.0,3.04,17.368,15.05,0.509,T1031
T1031TS259_3,0.22027,0.390974,0.289,0.206,0.471,0.23837,0.4261,0.4689,0.2758973,0.32910854,0.770,0.482,0.456,0.28144926,0.427,0.189786,259s,100.0,472.0,,-0.82,12.37,2.8,5.17,13.675999999999998,14.390999999999998,95.0,0.0,11.58,13.68,37.89,25.395,2.55,0.33,0.0,0.0,,3.52,0.21,27.89,0.44,0.27,0.36,1.69,0.51,56.3,2.58,43.46,50.1,0.2,,25.64,80.76,0.09,268.98,0.0,5.38,86.02,95.0,95.0,4.0,21.0,2.84,21.316,18.59,0.713,T1031
T1032TS317_5,0.35339,0.490243,0.321,0.342,0.485,0.20816,0.4511,0.3259,0.4004029,0.336083,0.568,0.400,0.439,0.32703543,0.451,0.368774,317s,100.0,522.0,,-1.17,18.23,6.28,11.44,7.8279999999999985,8.558,170.0,2.0,25.88,50.59,54.71,34.248000000000005,2.41,3.84,5.5,121.0,4.1,3.55,0.43,45.88,0.46,0.43,0.66,0.81,0.78,66.1,4.42,62.51,58.18,0.48,425.5,17.51,64.23,0.18,23.32,15.65,10.12,76.19,170.0,170.0,4.0,70.0,2.76,35.882,30.938,2.444,T1032
T1032TS063_4,0.12852,0.275547,0.231,0.167,0.172,0.17073,0.3251,0.2770,0.2283176,0.25212717,0.419,0.293,0.305,0.22994447,0.353,0.241845,063s,100.0,527.0,,-1.39,22.06,9.52,17.04,11.533,12.172,170.0,2.0,28.82,43.53,54.12,37.853,2.15,2.65,5.7,103.0,3.9,3.94,0.34,22.35,0.4,0.32,0.41,1.02,0.66,48.8,4.42,47.27,43.96,0.42,475.8,70.87,66.3,0.14,166.17,6.12,5.36,84.52,170.0,170.0,4.0,65.0,2.02,33.382,28.173,3.0660000000000003,T1032
T1032TS170_5,0.04803,0.241972,0.138,0.165,,0.08604,,,0.1937985,0.17521492,0.542,0.357,0.372,0.0919542,0.425,0.237735,170s,100.0,566.0,,-3.1,8.82,0.77,3.0,19.632,20.329,170.0,0.0,1.18,5.88,25.88,17.278,2.42,-1.87,0.0,0.0,,0.87,0.21,9.71,0.37,0.12,0.13,1.85,0.5,43.9,1.24,36.29,34.54,0.18,,124.69,,0.05,0.0,0.0,0.0,94.64,170.0,170.0,4.0,22.0,2.79,13.970999999999998,11.617,0.7609999999999999,T1032
